,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
415,Seychelles,SYC,2019,,Females,6.599999905,55.6667,-4.5833
416,Sierra Leone,SLE,2019,,Males,21.70000076,-11.5,8.5
417,Sierra Leone,SLE,2019,,Females,6.800000191,-11.5,8.5
418,Singapore,SGP,2019,,Males,28.10000038,103.8,1.3667
419,Singapore,SGP,2019,,Females,5,103.8,1.3667
420,Sint Maarten (Dutch part),SXM,2019,,Males,,0,0
421,Sint Maarten (Dutch part),SXM,2019,,Females,,0,0
422,Slovakia,SVK,2019,,Males,37.59999847,19.5,48.6667
423,Slovakia,SVK,2019,,Females,25.39999962,19.5,48.6667
424,Slovenia,SVN,2019,,Males,24.70000076,15,46
425,Slovenia,SVN,2019,,Females,19.79999924,15,46
426,Solomon Islands,SLB,2019,,Males,53.90000153,159,-8
427,Solomon Islands,SLB,2019,,Females,19.60000038,159,-8
428,Somalia,SOM,2019,,Males,,49,10
429,Somalia,SOM,2019,,Females,,49,10
430,South Africa,ZAF,2019,,Males,34,24,-29
431,South Africa,ZAF,2019,,Females,6.699999809,24,-29
432,South America,,2019,,Males,,0,0
433,South America,,2019,,Females,,0,0
434,South Asia,,2019,,Males,42.43146896,0,0
435,South Asia,,2019,,Females,13.19150448,0,0
436,South Korea,KOR,2019,,Males,36.79999924,127.5,37
437,South Korea,KOR,2019,,Females,6,127.5,37
438,South Sudan,SSD,2019,,Males,,30,8
439,South Sudan,SSD,2019,,Females,,30,8
440,Spain,ESP,2019,,Males,29.29999924,-4,40
441,Spain,ESP,2019,,Females,26.89999962,-4,40
442,Sri Lanka,LKA,2019,,Males,41.90000153,81,7
443,Sri Lanka,LKA,2019,,Females,2.700000048,81,7
444,Sub-Saharan Africa,,2019,,Males,16.65441322,0,0
445,Sub-Saharan Africa,,2019,,Females,2.973442554,0,0
446,Sudan,SDN,2019,,Males,,30,15
447,Sudan,SDN,2019,,Females,,30,15
448,Suriname,SUR,2019,,Males,,-56,4
449,Suriname,SUR,2019,,Females,,-56,4
450,Sweden,SWE,2019,,Males,30.5,15,62
451,Sweden,SWE,2019,,Females,19,15,62
452,Switzerland,CHE,2019,,Males,28.29999924,8,47
453,Switzerland,CHE,2019,,Females,23,8,47
454,Syria,SYR,2019,,Males,,38,35
455,Syria,SYR,2019,,Females,,38,35
